date,komoditas,price,year,month,day,lag_1,lag_7,rolling_mean_7
2022-03-06,beras,11786.764705882353,2022,3,6,11786.764705882353,11797.058823529413,11792.436974789916
2022-03-07,beras,11788.235294117647,2022,3,7,11786.764705882353,11797.058823529413,11791.176470588236
2022-03-08,beras,11788.235294117647,2022,3,8,11788.235294117647,11797.058823529413,11789.915966386556
2022-03-09,beras,11786.764705882353,2022,3,9,11788.235294117647,11798.529411764706,11788.235294117647
2022-03-10,beras,11789.70588235294,2022,3,10,11786.764705882353,11794.117647058823,11787.605042016807
2022-03-11,beras,11789.70588235294,2022,3,11,11789.70588235294,11786.764705882353,11788.025210084032
2022-03-12,beras,11789.70588235294,2022,3,12,11789.70588235294,11786.764705882353,11788.44537815126
2022-03-13,beras,11789.70588235294,2022,3,13,11789.70588235294,11786.764705882353,11788.865546218487
2022-03-14,beras,11788.235294117647,2022,3,14,11789.70588235294,11788.235294117647,11788.865546218487
2022-03-15,beras,11791.176470588236,2022,3,15,11788.235294117647,11788.235294117647,11789.285714285714
2022-03-16,beras,11783.823529411764,2022,3,16,11791.176470588236,11786.764705882353,11788.865546218487
2022-03-17,beras,11767.741935483871,2022,3,17,11783.823529411764,11789.70588235294,11785.727839522906
2022-03-18,beras,11791.176470588236,2022,3,18,11767.741935483871,11789.70588235294,11785.93792355652
2022-03-21,beras,11788.235294117647,2022,3,21,11791.176470588236,11789.70588235294,11785.727839522906
2022-03-22,beras,11786.764705882353,2022,3,22,11788.235294117647,11789.70588235294,11785.30767145568
2022-03-23,beras,11789.70588235294,2022,3,23,11786.764705882353,11788.235294117647,11785.51775548929
2022-03-24,beras,11791.176470588236,2022,3,24,11789.70588235294,11791.176470588236,11785.51775548929
2022-03-25,beras,11794.117647058823,2022,3,25,11791.176470588236,11783.823529411764,11786.988343724586
2022-03-26,beras,11794.117647058823,2022,3,26,11794.117647058823,11767.741935483871,11790.75630252101
2022-03-27,beras,11794.117647058823,2022,3,27,11794.117647058823,11791.176470588236,11791.176470588236
2022-03-28,beras,11788.235294117647,2022,3,28,11794.117647058823,11788.235294117647,11791.176470588236
2022-03-29,beras,11789.70588235294,2022,3,29,11788.235294117647,11786.764705882353,11791.596638655463
2022-03-30,beras,11789.70588235294,2022,3,30,11789.70588235294,11789.70588235294,11791.596638655463
2022-03-31,beras,11788.235294117647,2022,3,31,11789.70588235294,11791.176470588236,11791.176470588236
2022-04-01,beras,11789.70588235294,2022,4,1,11788.235294117647,11794.117647058823,11790.546218487394
2022-04-02,beras,11789.70588235294,2022,4,2,11789.70588235294,11794.117647058823,11789.915966386554
2022-04-03,beras,11789.70588235294,2022,4,3,11789.70588235294,11794.117647058823,11789.285714285714
2022-04-04,beras,11808.823529411764,2022,4,4,11789.70588235294,11788.235294117647,11792.226890756301
2022-04-05,beras,11786.764705882353,2022,4,5,11808.823529411764,11789.70588235294,11791.806722689074
2022-04-06,beras,11783.823529411764,2022,4,6,11786.764705882353,11789.70588235294,11790.96638655462
2022-04-07,beras,11785.29411764706,2022,4,7,11783.823529411764,11788.235294117647,11790.546218487394
2022-04-08,beras,11788.235294117647,2022,4,8,11785.29411764706,11789.70588235294,11790.336134453783
2022-04-09,beras,11788.235294117647,2022,4,9,11788.235294117647,11789.70588235294,11790.126050420167
2022-04-10,beras,11788.235294117647,2022,4,10,11788.235294117647,11789.70588235294,11789.915966386554
2022-04-11,beras,11782.35294117647,2022,4,11,11788.235294117647,11808.823529411764,11786.134453781513
2022-04-12,beras,11782.35294117647,2022,4,12,11782.35294117647,11786.764705882353,11785.504201680671
2022-04-13,beras,11780.882352941177,2022,4,13,11782.35294117647,11783.823529411764,11785.084033613444
2022-04-14,beras,11780.882352941177,2022,4,14,11780.882352941177,11785.29411764706,11784.453781512604
2022-04-15,beras,12625.0,2022,4,15,11780.882352941177,11788.235294117647,11903.991596638652
2022-04-18,beras,11833.823529411764,2022,4,18,12625.0,11788.235294117647,11910.504201680673
2022-04-19,beras,11776.470588235294,2022,4,19,11833.823529411764,11788.235294117647,11908.823529411764
2022-04-20,beras,11777.941176470587,2022,4,20,11776.470588235294,11782.35294117647,11908.193277310924
2022-04-21,beras,11776.470588235294,2022,4,21,11777.941176470587,11782.35294117647,11907.352941176472
2022-04-22,beras,11776.470588235294,2022,4,22,11776.470588235294,11780.882352941177,11906.72268907563
2022-04-25,beras,11773.529411764706,2022,4,25,11776.470588235294,11780.882352941177,11905.672268907563
2022-04-26,beras,11770.588235294117,2022,4,26,11773.529411764706,12625.0,11783.613445378152
2022-04-27,beras,11827.941176470587,2022,4,27,11770.588235294117,11833.823529411764,11782.773109243697
2022-04-28,beras,11827.941176470587,2022,4,28,11827.941176470587,11776.470588235294,11790.126050420167
2022-04-29,beras,13600.0,2022,4,29,11827.941176470587,11777.941176470587,12050.420168067227
2022-04-30,beras,13600.0,2022,4,30,13600.0,11776.470588235294,12310.924369747898
2022-05-01,beras,13600.0,2022,5,1,13600.0,11776.470588235294,12571.42857142857
2022-05-04,beras,13750.0,2022,5,4,13600.0,11773.529411764706,12853.781512605041
2022-05-05,beras,12350.0,2022,5,5,13750.0,11770.588235294117,12936.55462184874
2022-05-06,beras,12350.0,2022,5,6,12350.0,11827.941176470587,13011.134453781513
2022-05-07,beras,12350.0,2022,5,7,12350.0,11827.941176470587,13085.714285714286
2022-05-09,beras,11770.588235294117,2022,5,9,12350.0,13600.0,12824.369747899158
2022-05-10,beras,11763.235294117647,2022,5,10,11770.588235294117,13600.0,12561.974789915967
2022-05-11,beras,11761.764705882353,2022,5,11,11763.235294117647,13600.0,12299.369747899158
2022-05-12,beras,11761.764705882353,2022,5,12,11761.764705882353,13750.0,12015.336134453783
2022-05-13,beras,11758.823529411764,2022,5,13,11761.764705882353,12350.0,11930.882352941177
2022-05-14,beras,11758.823529411764,2022,5,14,11758.823529411764,12350.0,11846.42857142857
2022-05-16,beras,13750.0,2022,5,16,11758.823529411764,12350.0,12046.42857142857
2022-05-17,beras,11763.235294117647,2022,5,17,13750.0,11770.588235294117,12045.378151260506
2022-05-18,beras,11761.764705882353,2022,5,18,11763.235294117647,11763.235294117647,12045.16806722689
