Date_Scraped,Date_Param,Commodity_ID,Commodity_Name,Province_ID,Province_Name,Price,Price_Type
2026-02-12,2022-01-10,10,Gula Pasir,11,Banten,13450.0,1
2026-02-12,2022-01-10,10,Gula Pasir,12,Jawa Barat,13850.0,1
2026-02-12,2022-01-10,10,Gula Pasir,13,DKI Jakarta,14400.0,1
2026-02-12,2022-01-10,10,Gula Pasir,14,Jawa Tengah,13750.0,1
2026-02-12,2022-01-10,10,Gula Pasir,15,DI Yogyakarta,13000.0,1
2026-02-12,2022-01-10,10,Gula Pasir,16,Jawa Timur,13350.0,1
2026-02-12,2022-01-10,10,Gula Pasir,17,Bali,13400.0,1
2026-02-12,2022-01-10,10,Gula Pasir,18,Nusa Tenggara Barat,13750.0,1
2026-02-12,2022-01-10,10,Gula Pasir,19,Nusa Tenggara Timur,15450.0,1
2026-02-12,2022-01-10,10,Gula Pasir,20,Kalimantan Barat,13850.0,1
2026-02-12,2022-01-10,10,Gula Pasir,21,Kalimantan Selatan,15150.0,1
2026-02-12,2022-01-10,10,Gula Pasir,22,Kalimantan Tengah,14800.0,1
2026-02-12,2022-01-10,10,Gula Pasir,23,Kalimantan Timur,14200.0,1
2026-02-12,2022-01-10,10,Gula Pasir,24,Kalimantan Utara,14100.0,1
2026-02-12,2022-01-10,10,Gula Pasir,25,Gorontalo,14650.0,1
