Date_Scraped,Date_Param,Commodity_ID,Commodity_Name,Province_ID,Province_Name,Price,Price_Type,komoditas
2026-02-12,2022-01-10,1,Beras,19,Nusa Tenggara Timur,11300.0,1,beras
2026-02-12,2022-01-10,1,Beras,20,Kalimantan Barat,13350.0,1,beras
2026-02-12,2022-01-10,1,Beras,21,Kalimantan Selatan,13100.0,1,beras
2026-02-12,2022-01-10,1,Beras,22,Kalimantan Tengah,13850.0,1,beras
2026-02-12,2022-01-10,1,Beras,23,Kalimantan Timur,12050.0,1,beras
2026-02-12,2022-01-10,1,Beras,24,Kalimantan Utara,13450.0,1,beras
2026-02-12,2022-01-10,1,Beras,25,Gorontalo,11000.0,1,beras
2026-02-12,2022-01-10,1,Beras,26,Sulawesi Selatan,9900.0,1,beras
2026-02-12,2022-01-10,1,Beras,27,Sulawesi Tenggara,10950.0,1,beras
2026-02-12,2022-01-10,1,Beras,28,Sulawesi Tengah,10600.0,1,beras
2026-02-12,2022-01-10,1,Beras,29,Sulawesi Utara,11250.0,1,beras
